rank,epoch,train_step,traj,frame,frame_index,force_mae,force_rmse,energy_abs_error,epistemic_mean,epistemic_p95,epistemic_max,aleatoric_mean,aleatoric_p95,aleatoric_max
115,99,900,a,28176,14088,0.005629716906696558,0.0072813634760677814,0.017578125,0.001741998945362866,0.002558516338467598,0.003599858842790127,0.003479656996205449,0.004699715878814459,0.0060791149735450745
116,99,900,a,28944,14472,0.005723223555833101,0.007759181782603264,0.00048828125,0.0017329442780464888,0.0025585079565644264,0.0037044498603791,0.0034600605722516775,0.004709354601800442,0.006249424535781145
117,99,900,a,27040,13520,0.005691256839782,0.007631623651832342,0.009033203125,0.0017390074208378792,0.002558371750637889,0.004321435932070017,0.0034679644741117954,0.004648628644645214,0.006965920329093933
118,99,900,a,27112,13556,0.005593272857367992,0.0073794047348201275,0.0029296875,0.0017341114580631256,0.002558237873017788,0.0036949117202311754,0.00346433836966753,0.004713792819529772,0.006294697057455778
119,99,900,b,28158,30294,0.005834637675434351,0.0076601686887443066,0.030029296875,0.0017151042120531201,0.0025578541681170464,0.003982091788202524,0.0034340424463152885,0.004684031009674072,0.006643183995038271
120,99,900,a,27288,13644,0.005841364618390799,0.007700396701693535,0.0126953125,0.0017568648327142,0.002557379426434636,0.0038286829367280006,0.0034969542175531387,0.004748036153614521,0.006150006782263517
121,99,900,a,26912,13456,0.005475031677633524,0.007242628838866949,0.0029296875,0.001729498733766377,0.0025572653394192457,0.0041393316350877285,0.003454397199675441,0.004725034348666668,0.006786862853914499
122,99,900,a,28552,14276,0.006072966381907463,0.00795366708189249,0.01806640625,0.001724017085507512,0.002556890482082963,0.004178966861218214,0.003448009956628084,0.0046570743434131145,0.006739452946931124
123,99,900,b,27822,30126,0.005195203702896833,0.006805235054343939,0.000732421875,0.0017075930954888463,0.0025564427487552166,0.0036941897124052048,0.003424132941290736,0.00466097891330719,0.006197548005729914
124,99,900,a,27424,13712,0.005768684670329094,0.007457218132913113,0.008544921875,0.0017468947917222977,0.0025563801173120737,0.004229971673339605,0.003478612983599305,0.004685358144342899,0.006715311203151941
125,99,900,a,28912,14456,0.005710940808057785,0.00748315779492259,0.006103515625,0.0017304981593042612,0.0025560976937413216,0.003638876834884286,0.0034581359941512346,0.004734468646347523,0.0062811668030917645
126,99,900,a,28312,14156,0.005625757854431868,0.007434042636305094,0.011474609375,0.0017407977720722556,0.002555947983637452,0.003505373140797019,0.0034734411165118217,0.004666282795369625,0.006139581091701984
127,99,900,a,28704,14352,0.005495643243193626,0.007530710194259882,0.000732421875,0.0017271393444389105,0.0025554304011166096,0.0034708178136497736,0.003456676146015525,0.004704240243881941,0.006221060641109943
128,99,900,b,27798,30114,0.005489653442054987,0.007233676966279745,0.005859375,0.0017227467615157366,0.002555007580667734,0.003975172061473131,0.003443319583311677,0.004670517053455114,0.00658993748947978
129,99,900,b,26414,29422,0.005617163144052029,0.007414647378027439,0.0244140625,0.00172864506021142,0.002554787788540125,0.003648206824436784,0.003457831684499979,0.004730554763227701,0.006135587580502033
130,99,900,b,26022,29226,0.0058405837044119835,0.007619763258844614,0.027587890625,0.001730534015223384,0.0025547021068632603,0.0034700629767030478,0.0034585311077535152,0.0047230469062924385,0.00617145374417305
131,99,900,b,28790,30610,0.005934437271207571,0.007940612733364105,0.017578125,0.0017371086869388819,0.0025534708984196186,0.0041361101903021336,0.0034690999891608953,0.00469015259295702,0.0069502065889537334
132,99,900,a,27672,13836,0.005719824694097042,0.0075054834596812725,0.010986328125,0.0017370576970279217,0.0025534413289278746,0.004367241635918617,0.0034690452739596367,0.004693551454693079,0.007158743683248758
133,99,900,b,26990,29710,0.005593451205641031,0.007395287975668907,0.0224609375,0.0017309939721599221,0.0025531442370265722,0.0041563804261386395,0.0034611616283655167,0.004713618196547031,0.006745473016053438
134,99,900,a,28976,14488,0.005869091954082251,0.0077065834775567055,0.030517578125,0.001726023736409843,0.002553020603954792,0.0035348350647836924,0.0034479929599910975,0.004688255954533815,0.006074368953704834
135,99,900,a,25952,12976,0.0055399369448423386,0.007251255214214325,0.013671875,0.0017328265821561217,0.0025528271216899157,0.003840858116745949,0.003463624743744731,0.004688804037868977,0.006533412262797356
136,99,900,a,27312,13656,0.0055761621333658695,0.007195611484348774,0.020263671875,0.001743901171721518,0.0025527644902467728,0.0037424759939312935,0.003481638617813587,0.004676102194935083,0.0064633977599442005
137,99,900,a,27016,13508,0.0054416595958173275,0.00722621101886034,0.015625,0.0017393752932548523,0.0025525130331516266,0.003923546057194471,0.003466756781563163,0.004761866293847561,0.006648105103522539
138,99,900,a,26944,13472,0.005407219752669334,0.007040192373096943,0.001953125,0.0017153510125353932,0.0025519859045743942,0.003746285568922758,0.0034316452220082283,0.004730066750198603,0.0063970088958740234
139,99,900,a,27048,13524,0.005580827593803406,0.0074367523193359375,0.015869140625,0.001734591438435018,0.0025518795009702444,0.0038054557517170906,0.0034575413446873426,0.004737516865134239,0.00619095703586936
140,99,900,b,26246,29338,0.005677334498614073,0.007572670932859182,0.00537109375,0.0017343283398076892,0.002551834098994732,0.00362460152246058,0.00346302124671638,0.0047207185998559,0.006299951113760471
141,99,900,b,26126,29278,0.00562311289831996,0.007322911638766527,0.00146484375,0.0017376085743308067,0.0025516548193991184,0.003572312882170081,0.0034677048679441214,0.004691064823418856,0.006135191768407822
